     0     0      20.42
     0    20      20.10
     0    40      20.67
     0    60      21.12
     0    80      21.22
     0    90      21.25
    30     0      20.46
    30    20      20.20
    30    40      20.82
    30    60      21.17
    30    80      21.29
    30    90      21.28
    60     0      20.22
    60    20      20.22
    60    40      20.75
    60    60      21.20
    60    80      21.29
    60    90      21.27
    90     0      20.96
    90    20      20.56
    90    40      20.90
    90    60      21.25
    90    80      21.32
    90    90      21.28
   120     0      21.45
   120    20      21.02
   120    40      21.17
   120    60      21.30
   120    80      21.32
   120    90      21.28
   150     0      21.89
   150    20      21.24
   150    40      21.27
   150    60      21.35
   150    80      21.36
   150    90      21.31
   180     0      21.87
   180    20      21.27
   180    40      21.18
   180    60      21.14
   180    80      21.20
   180    90      21.18
   210     0      21.88
   210    20      21.38
   210    40      21.29
   210    60      21.20
   210    80      21.19
   210    90      21.17
   240     0      21.73
   240    20      21.25
   240    40      21.20
   240    60      21.20
   240    80      21.15
   240    90      21.20
   270     0      21.48
   270    20      20.89
   270    40      21.06
   270    60      21.15
   270    80      21.18
   270    90      21.23
   300     0      21.10
   300    20      20.59
   300    40      20.91
   300    60      21.08
   300    80      21.17
   300    90      21.24
   330     0      20.35
   330    20      20.34
   330    40      20.84
   330    60      21.06
   330    80      21.20
   330    90      21.25
   360     0      20.182
   360    20      20.142
   360    40      20.812
   360    60      21.162
   360    80      21.272
   360    90      21.302
